
Buscar...
Código	Nombre	Estado	Cuenta Compras	Cuenta Ventas	Stock	Precio de Ultima Compra	Precio de Venta por Defecto	Etiqueta	Acciones
9095287890622	Mano de obra y Materiales para cañería de calefacción por agua en sistema pressfitting de polietileno reticulado		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 24.519,60	$ 0,00		  
6809929430922	KIT DE FLEXIBLES HIDRÁULICOS PARA CALDERA DUAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 59.470,92	$ 0,00		  
621188026875	Mano de obra diseño, proyecto y ejecución de sistema de climatización de Piscinas.		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
7955936216461	Intercambiador de calor de placas soldadas TRIANGULAR código ICP20 de 20Kw.		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 36.720,00	$ 0,00		  
7346639095419	Materiales varios de cañeria Pex		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1961575457688	Teflon 1/2&quot;*10mts de alta densidad		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 806,40	$ 0,00		  
7008197078198	EQUIPOS DE CALEFACCIÓN POR AGUA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
3091670365969	COLECTOR DE 4 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 298.545,67	$ 0,00		  
8795097595748	COLECTOR DE 2 CIRCUITOS PARA PISO RADIANTE		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8719917600653	Caño aluminio F/CYC H3 1 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5656128287236	Anticipo financiero		Anticipo de Clientes	Anticipo de Clientes		$ 0,00	$ 0,00		  
9912765790950	Mano de obra instalación piso radiante		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
955884805125	Valvula de zona de 3 vias termostatizable p colectores		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
2800935079015	VALVULA RECTA LUXOR GRUPO LATYN		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4362998910883	MANO DE OBRA MANTENIMIENTO PREVENTIVO		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
7116358622471	Flete materiales varios		Fletes y Acarreos Varios	Ventas Brutas de Servicios		$ 18.363,64	$ 0,00		  
1815961277564	Servicio Tecnico		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 22.500,00	$ 0,00		  
6187224490980	TERMOSTATO ASUA DIGITAL PROGRAMABLE HY02B05 (CUADRADO BLANCO-BOTONES)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 22.046,16	$ 51.505,00		  
